date,total_value,cash,position_value,equity_ratio,macro_score,regime,choppy_mode,positions,总资产,现金,持仓市值,权益仓位,市场状态,震荡市,持仓明细
2023-11-07,498335.61329999974,376665.0132999997,121670.60000000003,0.24415393311806902,8.318948593929003,bullish,False,"{""588000"": 0.07688192249855409, ""512100"": 0.0769754337764084, ""515000"": 0.07690399597615918}",498335.61329999974,376665.0132999997,121670.60000000003,0.24415393311806902,偏多,False,"{""588000"": 0.07688192249855409, ""512100"": 0.0769754337764084, ""515000"": 0.07690399597615918}"
2023-11-08,499011.11329999974,376665.0132999997,122346.10000000003,0.2451771047560758,7.9480665745568695,bullish,False,"{""588000"": 0.07677784918783295, ""512100"": 0.07687123388159624, ""515000"": 0.07679989278507321}",499011.11329999974,376665.0132999997,122346.10000000003,0.2451771047560758,偏多,False,"{""588000"": 0.07677784918783295, ""512100"": 0.07687123388159624, ""515000"": 0.07679989278507321}"
2023-11-09,498088.7132999997,376665.0132999997,121423.70000000001,0.24377926413053713,7.009794236867416,bullish,False,"{""588000"": 0.07692003247004718, ""512100"": 0.07701359010095847, ""515000"": 0.076942116889361}",498088.7132999997,376665.0132999997,121423.70000000001,0.24377926413053713,偏多,False,"{""588000"": 0.07692003247004718, ""512100"": 0.07701359010095847, ""515000"": 0.076942116889361}"
2023-11-10,497597.61329999974,376665.0132999997,120932.60000000003,0.2430329181002125,5.391560918862725,bullish,False,"{""588000"": 0.07699594808325826, ""512100"": 0.07708959805012798, ""515000"": 0.07701805429861378}",497597.61329999974,376665.0132999997,120932.60000000003,0.2430329181002125,偏多,False,"{""588000"": 0.07699594808325826, ""512100"": 0.07708959805012798, ""515000"": 0.07701805429861378}"
2023-11-13,498399.61329999974,376665.0132999997,121734.60000000003,0.24425099207836826,4.820227682757896,bullish,False,"{""588000"": 0.07687205001288475, ""512100"": 0.076965549282861, ""515000"": 0.0768941206560122}",498399.61329999974,376665.0132999997,121734.60000000003,0.24425099207836826,偏多,False,"{""588000"": 0.07687205001288475, ""512100"": 0.076965549282861, ""515000"": 0.0768941206560122}"
2023-11-14,499167.3132999997,376665.0132999997,122502.29999999999,0.24541330478980317,4.893997637958868,bullish,False,"{""588000"": 0.07675382377646565, ""512100"": 0.076847179248185, ""515000"": 0.07677586047579855}",499167.3132999997,376665.0132999997,122502.29999999999,0.24541330478980317,偏多,False,"{""588000"": 0.07675382377646565, ""512100"": 0.076847179248185, ""515000"": 0.07677586047579855}"
2023-11-15,499293.3132999997,376665.0132999997,122628.29999999999,0.24560372977861,8.085605081019565,bullish,False,"{""588000"": 0.07673445443676448, ""512100"": 0.07682778634960746, ""515000"": 0.07675648557498922}",499293.3132999997,376665.0132999997,122628.29999999999,0.24560372977861,偏多,False,"{""588000"": 0.07673445443676448, ""512100"": 0.07682778634960746, ""515000"": 0.07675648557498922}"
2023-11-16,497661.91329999967,376665.0132999997,120996.89999999997,0.24313072141219058,7.159502523975415,bullish,False,"{""588000"": 0.07698599988483391, ""512100"": 0.07707963775173636, ""515000"": 0.07700810324397397}",497661.91329999967,376665.0132999997,120996.89999999997,0.24313072141219058,偏多,False,"{""588000"": 0.07698599988483391, ""512100"": 0.07707963775173636, ""515000"": 0.07700810324397397}"
2023-11-17,498216.32455999975,226940.82455999972,271275.5,0.5444933990060988,9.659338673128836,bullish,False,"{""588000"": 0.07690033046154432, ""512100"": 0.07699386412895506, ""515000"": 0.07692240922423785, ""560660"": 0.3001302699827377}",498216.32455999975,226940.82455999972,271275.5,0.5444933990060988,偏多,False,"{""588000"": 0.07690033046154432, ""512100"": 0.07699386412895506, ""515000"": 0.07692240922423785, ""560660"": 0.3001302699827377}"
2023-11-20,499557.5245599997,226940.82455999972,272616.69999999995,0.5457163321483653,13.788483981390577,bullish,False,"{""588000"": 0.07669387030801973, ""512100"": 0.07678715285849486, ""515000"": 0.0767158897941834, ""560660"": 0.299324487468591}",499557.5245599997,226940.82455999972,272616.69999999995,0.5457163321483653,偏多,False,"{""588000"": 0.07669387030801973, ""512100"": 0.07678715285849486, ""515000"": 0.0767158897941834, ""560660"": 0.299324487468591}"
2023-11-21,496271.5245599997,226940.82455999972,269330.69999999995,0.5427083495044206,10.69407830680073,bullish,False,"{""588000"": 0.07720168920424916, ""512100"": 0.07729558941349714, ""515000"": 0.07722385448969396, ""560660"": 0.30130642722766515}",496271.5245599997,226940.82455999972,269330.69999999995,0.5427083495044206,偏多,False,"{""588000"": 0.07720168920424916, ""512100"": 0.07729558941349714, ""515000"": 0.07722385448969396, ""560660"": 0.30130642722766515}"
2023-11-22,491866.59345999977,251855.39345999973,240011.20000000004,0.4879599533516979,4.207968319122671,neutral,False,"{""588000"": 0.07789307204315297, ""512100"": 0.029958733111640677, ""515000"": 0.07791543583070484, ""560660"": 0.3040047890793792}",491866.59345999977,251855.39345999973,240011.20000000004,0.4879599533516979,中性,False,"{""588000"": 0.07789307204315297, ""512100"": 0.029958733111640677, ""515000"": 0.07791543583070484, ""560660"": 0.3040047890793792}"
2023-11-23,493117.3431399997,244518.74313999971,248598.6,0.5041368012266829,7.502880226785023,bullish,False,"{""588000"": 0.07769550297305737, ""512100"": 0.029882745364760824, ""515000"": 0.0777178100367878, ""560660"": 0.15900840051723525, ""159819"": 0.15563516689821863}",493117.3431399997,244518.74313999971,248598.6,0.5041368012266829,偏多,False,"{""588000"": 0.07769550297305737, ""512100"": 0.029882745364760824, ""515000"": 0.0777178100367878, ""560660"": 0.15900840051723525, ""159819"": 0.15563516689821863}"
2023-11-24,487713.73938999977,322804.33938999975,164909.40000000002,0.33812744378753373,1.3533249142348427,neutral,False,"{""512100"": 0.030213829978278737, ""560660"": 0.16077012736624935, ""159819"": 0.15735952014800597}",487713.73938999977,322804.33938999975,164909.40000000002,0.33812744378753373,中性,False,"{""512100"": 0.030213829978278737, ""560660"": 0.16077012736624935, ""159819"": 0.15735952014800597}"
2023-11-27,487792.85327999975,398471.35327999975,89321.5,0.18311358889206242,-2.721675741143892,neutral,False,"{""512100"": 0.030208929673558597, ""512890"": 0.07593387182886531, ""510500"": 0.07540803386655148}",487792.85327999975,398471.35327999975,89321.5,0.18311358889206242,中性,False,"{""512100"": 0.030208929673558597, ""512890"": 0.07593387182886531, ""510500"": 0.07540803386655148}"
2023-11-28,487866.1521999997,281087.35219999973,206778.8,0.4238433001911382,-1.1714159416320045,neutral,False,"{""512100"": 0.030204390965739982, ""512890"": 0.07592246322678997, ""510500"": 0.07539670426842951, ""560660"": 0.24029459611279025}",487866.1521999997,281087.35219999973,206778.8,0.4238433001911382,中性,False,"{""512100"": 0.030204390965739982, ""512890"": 0.07592246322678997, ""510500"": 0.07539670426842951, ""560660"": 0.24029459611279025}"
2023-11-29,486000.29381999973,275151.5938199997,210848.7,0.43384479943975546,-1.3136505188893006,neutral,False,"{""512100"": 0.11795939370611312, ""510500"": 0.07568616823434171, ""560660"": 0.24121713811847847}",486000.29381999973,275151.5938199997,210848.7,0.43384479943975546,中性,False,"{""512100"": 0.11795939370611312, ""510500"": 0.07568616823434171, ""560660"": 0.24121713811847847}"
2023-11-30,484969.67994999967,245495.2799499997,239474.39999999997,0.4937925192038598,-1.184191800941783,neutral,False,"{""512100"": 0.05960592531971081, ""510500"": 0.0758470096600521, ""560660"": 0.24172975104770789, ""588000"": 0.06003406234179779, ""159915"": 0.05989446598598647}",484969.67994999967,245495.2799499997,239474.39999999997,0.4937925192038598,中性,False,"{""512100"": 0.05960592531971081, ""510500"": 0.0758470096600521, ""560660"": 0.24172975104770789, ""588000"": 0.06003406234179779, ""159915"": 0.05989446598598647}"
2023-12-01,489929.5799499997,245495.2799499997,244434.3,0.4989172117857142,0.3989727177794375,neutral,False,"{""512100"": 0.0590024928243236, ""510500"": 0.07507915730206366, ""560660"": 0.23928255161071146, ""588000"": 0.05942629551571745, ""159915"": 0.05928811239150823}",489929.5799499997,245495.2799499997,244434.3,0.4989172117857142,中性,False,"{""512100"": 0.0590024928243236, ""510500"": 0.07507915730206366, ""560660"": 0.23928255161071146, ""588000"": 0.05942629551571745, ""159915"": 0.05928811239150823}"
2023-12-04,489657.2815099997,392117.0815099997,97540.20000000001,0.19920095888129474,-6.93584270135129,bearish,False,"{""512100"": 0.05903530411368629, ""510500"": 0.07512090882538792, ""512890"": 0.0644369055489184}",489657.2815099997,392117.0815099997,97540.20000000001,0.19920095888129474,偏空,False,"{""512100"": 0.05903530411368629, ""510500"": 0.07512090882538792, ""512890"": 0.0644369055489184}"
2023-12-05,488160.1815099997,392117.0815099997,96043.09999999998,0.19674505139463652,-13.343635824183664,bearish,False,"{""512100"": 0.05921635483665844, ""510500"": 0.07535129122211397, ""512890"": 0.06463452201775632}",488160.1815099997,392117.0815099997,96043.09999999998,0.19674505139463652,偏空,False,"{""512100"": 0.05921635483665844, ""510500"": 0.07535129122211397, ""512890"": 0.06463452201775632}"
2023-12-06,488255.1815099997,392117.0815099997,96138.09999999998,0.19690134102146958,-11.117334504458501,bearish,False,"{""512100"": 0.0592048330875352, ""510500"": 0.07533663009216146, ""512890"": 0.06462194605374362}",488255.1815099997,392117.0815099997,96138.09999999998,0.19690134102146958,偏空,False,"{""512100"": 0.0592048330875352, ""510500"": 0.07533663009216146, ""512890"": 0.06462194605374362}"
2023-12-07,487998.6013699997,406203.6013699997,81795.0,0.16761318530497832,-10.288976259249443,bearish,False,"{""515220"": 0.16761318530497832}",487998.6013699997,406203.6013699997,81795.0,0.16761318530497832,偏空,False,"{""515220"": 0.16761318530497832}"
2023-12-08,487718.6013699997,406203.6013699997,81515.0,0.16713531075301347,-7.1390211420190175,bearish,False,"{""515220"": 0.16770941229274045}",487718.6013699997,406203.6013699997,81515.0,0.16713531075301347,偏空,False,"{""515220"": 0.16770941229274045}"
2023-12-11,489246.41430999973,374710.2143099997,114536.20000000001,0.23410738770877693,-1.8762164862854802,neutral,False,"{""588000"": 0.11734495812497278, ""510500"": 0.11676242958380412}",489246.41430999973,374710.2143099997,114536.20000000001,0.23410738770877693,中性,False,"{""588000"": 0.11734495812497278, ""510500"": 0.11676242958380412}"
2023-12-12,488793.3118999997,364156.0118999997,124637.29999999999,0.2549897819090844,0.6030765183792004,neutral,False,"{""588000"": 0.05136240490364209, ""510500"": 0.050913953595771395, ""512890"": 0.051095216305065846, ""515000"": 0.0509808530381408, ""159915"": 0.05088121992366405}",488793.3118999997,364156.0118999997,124637.29999999999,0.2549897819090844,中性,False,"{""588000"": 0.05136240490364209, ""510500"": 0.050913953595771395, ""512890"": 0.051095216305065846, ""515000"": 0.0509808530381408, ""159915"": 0.05088121992366405}"
2023-12-13,487223.1979999997,383192.3979999997,104030.79999999999,0.21351774797882275,-4.418919389156934,bearish,False,"{""512890"": 0.21385024446229275}",487223.1979999997,383192.3979999997,104030.79999999999,0.21351774797882275,偏空,False,"{""512890"": 0.21385024446229275}"
2023-12-14,487109.9979999997,383192.3979999997,103917.59999999998,0.2133349765487672,-3.5066005084446985,bearish,False,"{""512890"": 0.21389994134343362}",487109.9979999997,383192.3979999997,103917.59999999998,0.2133349765487672,偏空,False,"{""512890"": 0.21389994134343362}"
2023-12-15,486289.9922999997,394252.59229999967,92037.40000000002,0.1892644336863522,-7.434402596162366,bearish,False,"{""515220"": 0.18926443368635218}",486289.9922999997,394252.59229999967,92037.40000000002,0.1892644336863522,偏空,False,"{""515220"": 0.18926443368635218}"
2023-12-18,486251.09229999967,394252.59229999967,91998.5,0.18919957498674408,-12.08623861126381,bearish,False,"{""515220"": 0.18927957480703447}",486251.09229999967,394252.59229999967,91998.5,0.18919957498674408,偏空,False,"{""515220"": 0.18927957480703447}"
2023-12-19,485784.2922999997,394252.59229999967,91531.70000000001,0.18842046037889165,-10.551472879999478,bearish,False,"{""515220"": 0.18946145739755957}",485784.2922999997,394252.59229999967,91531.70000000001,0.18842046037889165,偏空,False,"{""515220"": 0.18946145739755957}"
2023-12-20,486173.2922999997,394252.59229999967,91920.70000000001,0.18906982645044007,-10.165096988275769,bearish,False,"{""515220"": 0.1893098643172836}",486173.2922999997,394252.59229999967,91920.70000000001,0.18906982645044007,偏空,False,"{""515220"": 0.1893098643172836}"
2023-12-21,486095.4922999997,394252.59229999967,91842.90000000002,0.18894003638140727,-8.240983582887766,bearish,False,"{""515220"": 0.18934016352325692}",486095.4922999997,394252.59229999967,91842.90000000002,0.18894003638140727,偏空,False,"{""515220"": 0.18934016352325692}"
2023-12-22,486707.8684699997,392157.4684699997,94550.40000000002,0.19426519710319423,-6.809543481777709,bearish,False,"{""159601"": 0.1942651971031942}",486707.8684699997,392157.4684699997,94550.40000000002,0.19426519710319423,偏空,False,"{""159601"": 0.1942651971031942}"
2023-12-25,486848.5684699997,392157.4684699997,94691.10000000003,0.19449805572517573,-5.050635004476579,neutral,False,"{""159601"": 0.19420905415649042}",486848.5684699997,392157.4684699997,94691.10000000003,0.19449805572517573,中性,False,"{""159601"": 0.19420905415649042}"
2023-12-26,486145.0684699997,392157.4684699997,93987.60000000003,0.1933324147374336,-8.269357242759389,bearish,False,"{""159601"": 0.1944900938675978}",486145.0684699997,392157.4684699997,93987.60000000003,0.1933324147374336,偏空,False,"{""159601"": 0.1944900938675978}"
2023-12-27,486256.60071999964,376828.10071999964,109428.5,0.2250427034573296,-3.0074759667360906,neutral,False,"{""159601"": 0.07531825777947462, ""512890"": 0.07502211784063004, ""510300"": 0.07492648931871147}",486256.60071999964,376828.10071999964,109428.5,0.2250427034573296,中性,False,"{""159601"": 0.07531825777947462, ""512890"": 0.07502211784063004, ""510300"": 0.07492648931871147}"
2023-12-28,488056.4007199996,376828.10071999964,111228.29999999999,0.22790050460543435,2.4878298783783506,neutral,False,"{""159601"": 0.0750405075027617, ""512890"": 0.07474545963577836, ""510300"": 0.07465018376206499}",488056.4007199996,376828.10071999964,111228.29999999999,0.22790050460543435,中性,False,"{""159601"": 0.0750405075027617, ""512890"": 0.07474545963577836, ""510300"": 0.07465018376206499}"
