,0
2023-10-24,0.9816869147799993
2023-10-25,0.9835447883599995
2023-10-26,0.9834092265999995
2023-10-27,0.9874634265999994
2023-10-30,0.9922972265999994
2023-10-31,0.9912108265999994
2023-11-01,0.9900984265999995
2023-11-02,0.9877156265999993
2023-11-03,0.9911286265999993
2023-11-06,0.9960548265999993
2023-11-07,0.9966712265999995
2023-11-08,0.9980222265999995
2023-11-09,0.9961774265999994
2023-11-10,0.9951952265999995
2023-11-13,0.9967992265999994
2023-11-14,0.9983346265999994
2023-11-15,0.9985866265999994
2023-11-16,0.9953238265999993
2023-11-17,0.9964326491199995
2023-11-20,0.9991150491199994
2023-11-21,0.9925430491199994
2023-11-22,0.9837331869199996
2023-11-23,0.9862346862799994
2023-11-24,0.9754274787799996
2023-11-27,0.9755857065599995
2023-11-28,0.9757323043999995
2023-11-29,0.9720005876399994
2023-11-30,0.9699393598999994
2023-12-01,0.9798591598999994
2023-12-04,0.9793145630199994
2023-12-05,0.9763203630199994
2023-12-06,0.9765103630199994
2023-12-07,0.9759972027399993
2023-12-08,0.9754372027399993
2023-12-11,0.9784928286199994
2023-12-12,0.9775866237999994
2023-12-13,0.9744463959999994
2023-12-14,0.9742199959999993
2023-12-15,0.9725799845999994
2023-12-18,0.9725021845999994
2023-12-19,0.9715685845999994
2023-12-20,0.9723465845999993
2023-12-21,0.9721909845999994
2023-12-22,0.9734157369399994
2023-12-25,0.9736971369399994
2023-12-26,0.9722901369399994
2023-12-27,0.9725132014399993
2023-12-28,0.9761128014399992
2023-12-29,0.9767697454399993
2024-01-02,0.9744773454399993
2024-01-03,0.9738273454399994
2024-01-04,0.9723284923999992
2024-01-05,0.9702263064799992
2024-01-08,0.9673967342199992
2024-01-09,0.9687155342199991
2024-01-10,0.9677735342199991
2024-01-11,0.9659485388199992
2024-01-12,0.9656003388199993
2024-01-15,0.9658281388199992
2024-01-16,0.9670676688999992
2024-01-17,0.9611045514599993
2024-01-18,0.9614372344199992
2024-01-19,0.9608874344199992
2024-01-22,0.9582440908799992
2024-01-23,0.9588048908799993
2024-01-24,0.9603689039199993
2024-01-25,0.9648133039199993
2024-01-26,0.9654819039199992
2024-01-29,0.9631899039199993
2024-01-30,0.9597747039199993
2024-01-31,0.9578252855199992
2024-02-01,0.9558352855199992
2024-02-02,0.9562332855199992
2024-02-05,0.9561252189199992
2024-02-06,0.9630024550999992
2024-02-07,0.9631848550999992
2024-02-08,0.9634584550999992
2024-02-19,0.9636408550999992
2024-02-20,0.9637320550999992
2024-02-21,0.9643248550999992
2024-02-22,0.9644616550999993
2024-02-23,0.9645072550999992
2024-02-26,0.9640056550999992
2024-02-27,0.9643248550999992
2024-02-28,0.9640968550999992
2024-02-29,0.9644616550999993
2024-03-01,0.9646440550999992
2024-03-04,0.9646896550999993
2024-03-05,0.9651000550999992
2024-03-06,0.9650544550999992
2024-03-07,0.9647808550999992
2024-03-08,0.9650088550999992
2024-03-11,0.9657840550999992
2024-03-12,0.9659664550999992
2024-03-13,0.9656016550999993
2024-03-14,0.9655560550999992
2024-03-15,0.9656016550999993
2024-03-18,0.9659664550999992
